Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14792.4, -2.34477, 14664.1, -122.725, 14660.3, 117.982, 48.1236, -14.4874, 40.1645, -128.329, 38.2408, 116.309
60, 1.00833, 13069.9, -1.67606, 13621.2, -123.096, 13610.2, 118.509, 93.3306, -27.2954, 77.523, -144.474, 71.566, 100.351
61, 1.01667, 0.00555669, 77.4193, 0.00550678, -42.9588, 0.00551097, -162.253, 1.7982E-005, 65.775, 1.50748E-005, -48.2264, 1.42691E-005, -163.156
62, 1.02500, 0.00560225, 77.4568, 0.0055526, -42.914, 0.00555653, -162.206, 1.80776E-005, 66.0586, 1.51652E-005, -47.8903, 1.43592E-005, -162.807
62, 1.03333, 0.00564785, 77.4931, 0.00559848, -42.8703, 0.00560215, -162.16, 1.8173E-005, 66.3419, 1.52556E-005, -47.5546, 1.44497E-005, -162.46
63, 1.04167, 0.00569352, 77.5283, 0.00564442, -42.8277, 0.00564783, -162.115, 1.82682E-005, 66.6249, 1.53463E-005, -47.2192, 1.45404E-005, -162.112
63, 1.05000, 0.00573923, 77.5623, 0.00569041, -42.7863, 0.00569356, -162.071, 1.83633E-005, 66.9077, 1.54371E-005, -46.8842, 1.46314E-005, -161.766
63, 1.05833, 0.00578499, 77.5953, 0.00573646, -42.746, 0.00573935, -162.029, 1.84583E-005, 67.1902, 1.55282E-005, -46.5494, 1.47228E-005, -161.42
64, 1.06667, 0.00583081, 77.6272, 0.00578258, -42.7068, 0.00578519, -161.987, 1.85532E-005, 67.4726, 1.56194E-005, -46.2148, 1.48145E-005, -161.074
65, 1.07500, 0.00587667, 77.658, 0.00582875, -42.6686, 0.00583109, -161.947, 1.8648E-005, 67.7549, 1.57109E-005, -45.8804, 1.49065E-005, -160.729
65, 1.08333, 0.00592259, 77.6878, 0.00587497, -42.6315, 0.00587705, -161.908, 1.87427E-005, 68.0371, 1.58027E-005, -45.5462, 1.49989E-005, -160.384
66, 1.09167, 0.00596857, 77.7166, 0.00592126, -42.5954, 0.00592307, -161.87, 1.88374E-005, 68.3193, 1.58947E-005, -45.2121, 1.50917E-005, -160.039
66, 1.10000, 0.0060146, 77.7443, 0.00596761, -42.5603, 0.00596914, -161.833, 1.8932E-005, 68.6015, 1.5987E-005, -44.8781, 1.51849E-005, -159.695
66, 1.10833, 0.00606068, 77.7712, 0.00601402, -42.5262, 0.00601526, -161.797, 1.90265E-005, 68.8837, 1.60795E-005, -44.5442, 1.52785E-005, -159.351
67, 1.11667, 0.00610682, 77.797, 0.00606049, -42.493, 0.00606146, -161.762, 1.91211E-005, 69.1661, 1.61725E-005, -44.2103, 1.53726E-005, -159.008
68, 1.12500, 0.00615301, 77.8219, 0.00610701, -42.4607, 0.0061077, -161.728, 1.92156E-005, 69.4486, 1.62657E-005, -43.8765, 1.54671E-005, -158.665
68, 1.13333, 0.00619925, 77.8459, 0.0061536, -42.4294, 0.006154, -161.695, 1.93102E-005, 69.7312, 1.63593E-005, -43.5426, 1.55621E-005, -158.322
69, 1.14167, 0.00624556, 77.869, 0.00620025, -42.399, 0.00620037, -161.663, 1.94048E-005, 70.0141, 1.64533E-005, -43.2087, 1.56576E-005, -157.979
69, 1.15000, 0.00629191, 77.8912, 0.00624696, -42.3694, 0.00624679, -161.632, 1.94994E-005, 70.2972, 1.65476E-005, -42.8748, 1.57536E-005, -157.637
69, 1.15833, 0.00633832, 77.9126, 0.00629373, -42.3408, 0.00629327, -161.602, 1.95942E-005, 70.5805, 1.66424E-005, -42.5409, 1.58501E-005, -157.295
70, 1.16667, 0.00638479, 77.9331, 0.00634057, -42.3129, 0.00633981, -161.573, 1.9689E-005, 70.8641, 1.67376E-005, -42.2069, 1.59472E-005, -156.953
71, 1.17500, 0.00643132, 77.9527, 0.00638747, -42.2859, 0.00638641, -161.544, 1.97839E-005, 71.148, 1.68332E-005, -41.8728, 1.60448E-005, -156.612
71, 1.18333, 0.0064779, 77.9715, 0.00643443, -42.2598, 0.00643307, -161.517, 1.98789E-005, 71.4323, 1.69293E-005, -41.5387, 1.6143E-005, -156.271
72, 1.19167, 0.00652454, 77.9895, 0.00648146, -42.2344, 0.0064798, -161.49, 1.99741E-005, 71.7169, 1.70259E-005, -41.2044, 1.62419E-005, -155.93
72, 1.20000, 0.00657123, 78.0067, 0.00652854, -42.2098, 0.00652658, -161.465, 2.00694E-005, 72.0019, 1.7123E-005, -40.8701, 1.63413E-005, -155.589
72, 1.20833, 0.00661799, 78.0231, 0.00657569, -42.186, 0.00657342, -161.44, 2.01649E-005, 72.2873, 1.72207E-005, -40.5356, 1.64414E-005, -155.248
73, 1.21667, 0.0066648, 78.0387, 0.00662291, -42.1629, 0.00662033, -161.416, 2.02606E-005, 72.5731, 1.73188E-005, -40.2011, 1.65422E-005, -154.908
74, 1.22500, 0.00671167, 78.0536, 0.00667019, -42.1406, 0.0066673, -161.393, 2.03564E-005, 72.8594, 1.74176E-005, -39.8664, 1.66436E-005, -154.568
74, 1.23333, 0.0067586, 78.0677, 0.00671754, -42.1191, 0.00671433, -161.37, 2.04526E-005, 73.146, 1.75169E-005, -39.5317, 1.67457E-005, -154.228
75, 1.24167, 0.0068056, 78.081, 0.00676495, -42.0982, 0.00676143, -161.348, 2.0549E-005, 73.4332, 1.76168E-005, -39.1968, 1.68486E-005, -153.889
75, 1.25000, 0.00685264, 78.0937, 0.00681243, -42.0781, 0.00680858, -161.328, 2.06456E-005, 73.7208, 1.77174E-005, -38.8618, 1.69522E-005, -153.55
75, 1.25833, 0.00689975, 78.1056, 0.00685998, -42.0586, 0.0068558, -161.307, 2.07426E-005, 74.0089, 1.78186E-005, -38.5268, 1.70565E-005, -153.211
76, 1.26667, 0.00694693, 78.1168, 0.00690759, -42.0399, 0.00690309, -161.288, 2.08398E-005, 74.2975, 1.79204E-005, -38.1916, 1.71617E-005, -152.872
77, 1.27500, 0.00699416, 78.1273, 0.00695527, -42.0218, 0.00695044, -161.27, 2.09374E-005, 74.5866, 1.8023E-005, -37.8563, 1.72676E-005, -152.534
77, 1.28333, 0.00704145, 78.1372, 0.00700302, -42.0044, 0.00699785, -161.252, 2.10354E-005, 74.8762, 1.81262E-005, -37.521, 1.73743E-005, -152.196
78, 1.29167, 0.00708881, 78.1463, 0.00705084, -41.9876, 0.00704533, -161.234, 2.11337E-005, 75.1664, 1.82302E-005, -37.1856, 1.74819E-005, -151.859
78, 1.30000, 0.00713622, 78.1548, 0.00709872, -41.9715, 0.00709287, -161.218, 2.12324E-005, 75.457, 1.8335E-005, -36.8501, 1.75904E-005, -151.521
78, 1.30833, 0.0071837, 78.1626, 0.00714668, -41.956, 0.00714048, -161.202, 2.13315E-005, 75.7481, 1.84405E-005, -36.5146, 1.76997E-005, -151.184
79, 1.31667, 0.00723125, 78.1698, 0.00719471, -41.9411, 0.00718816, -161.187, 2.14311E-005, 76.0399, 1.85468E-005, -36.1791, 1.78099E-005, -150.848
80, 1.32500, 0.00727885, 78.1763, 0.0072428, -41.9269, 0.0072359, -161.173, 2.15311E-005, 76.3321, 1.86539E-005, -35.8435, 1.7921E-005, -150.512
80, 1.33333, 0.00732652, 78.1823, 0.00729097, -41.9132, 0.00728371, -161.159, 2.16316E-005, 76.6248, 1.87618E-005, -35.5079, 1.80331E-005, -150.176
81, 1.34167, 0.00737426, 78.1875, 0.00733921, -41.9001, 0.00733159, -161.146, 2.17326E-005, 76.9181, 1.88706E-005, -35.1723, 1.81461E-005, -149.841
81, 1.35000, 0.00742206, 78.1922, 0.00738752, -41.8877, 0.00737954, -161.133, 2.18341E-005, 77.2119, 1.89803E-005, -34.8368, 1.82602E-005, -149.506
81, 1.35833, 0.00746993, 78.1962, 0.00743591, -41.8758, 0.00742755, -161.122, 2.19362E-005, 77.5062, 1.90909E-005, -34.5013, 1.83752E-005, -149.172
82, 1.36667, 0.00751786, 78.1997, 0.00748437, -41.8644, 0.00747563, -161.111, 2.20388E-005, 77.801, 1.92024E-005, -34.1658, 1.84912E-005, -148.838
83, 1.37500, 0.00756586, 78.2026, 0.0075329, -41.8537, 0.00752378, -161.1, 2.2142E-005, 78.0963, 1.93149E-005, -33.8304, 1.86082E-005, -148.505
83, 1.38333, 0.00761392, 78.2048, 0.0075815, -41.8434, 0.007572, -161.09, 2.22458E-005, 78.3922, 1.94283E-005, -33.4951, 1.87264E-005, -148.172
84, 1.39167, 0.00766206, 78.2065, 0.00763019, -41.8338, 0.0076203, -161.081, 2.23503E-005, 78.6885, 1.95427E-005, -33.1599, 1.88456E-005, -147.84
84, 1.40000, 0.00771026, 78.2076, 0.00767894, -41.8246, 0.00766866, -161.072, 2.24554E-005, 78.9853, 1.96581E-005, -32.8248, 1.89658E-005, -147.508
84, 1.40833, 0.00775852, 78.2082, 0.00772777, -41.816, 0.00771709, -161.064, 2.25612E-005, 79.2826, 1.97745E-005, -32.49, 1.90872E-005, -147.178
